plaatsnaam,provincie
Langerak,Zuid-Holland
Langerak,Gelderland
Langeveen,Overijssel
Langezwaag / Langsweagen,Fryslân
Langweer / Langwar,Fryslân
Laren,Noord-Holland
Laren,Gelderland
Lathum,Gelderland
Lattrop-Breklenkamp,Overijssel
Lauwersoog,Groningen
Lauwerzijl,Groningen
Ledeacker,Noord-Brabant
Leek,Groningen
Leende,Noord-Brabant
Leens,Groningen
Leerbroek,Utrecht
Leerdam,Utrecht
Leermens,Groningen
Leersum,Utrecht
Leeuwarden / Ljouwert,Fryslân
Leggeloo,Drenthe
Leiden,Zuid-Holland
Leiderdorp,Zuid-Holland
Leidschendam,Zuid-Holland
Leimuiden,Zuid-Holland
Lekkerkerk,Zuid-Holland
Lekkum,Fryslân
Lellens,Groningen
Lelystad,Flevoland
Lemele,Overijssel
Lemelerveld,Overijssel
Lemiers,Limburg
Lemmer / De Lemmer,Fryslân
Lengel,Gelderland
Lent,Gelderland
Leons / Lions,Fryslân
Lepelstraat,Noord-Brabant
Lettelbert,Groningen
Lettele,Overijssel
Leunen,Limburg
Leur,Gelderland
Leusden,Utrecht
Leuth,Gelderland
Leutingewolde,Drenthe
Leuvenheim,Gelderland
Leveroy,Limburg
Lewedorp,Zeeland
Lexmond,Utrecht
Lichtenvoorde,Gelderland
Liende,Gelderland
De Lier,Zuid-Holland
Lierderholthuis,Overijssel
Lieren,Gelderland
Lierop,Noord-Brabant
Lies,Fryslân
Lieshout,Noord-Brabant
Liessel,Noord-Brabant
Lievelde,Gelderland
Lieveren,Drenthe
Lijnden,Noord-Holland
Limbricht,Limburg
Limmen,Noord-Holland
Linden,Noord-Brabant
Linne,Limburg
Linschoten,Utrecht
Lioessens / Ljussens,Fryslân
Lippenhuizen / Lippenhuzen,Fryslân
Lisse,Zuid-Holland
Lisserbroek,Noord-Holland
Lith,Noord-Brabant
Lithoijen,Noord-Brabant
Lobith,Gelderland
Lochem,Gelderland
Loenen,Gelderland
Loenen aan de Vecht,Utrecht
Loenersloot,Utrecht
Loerbeek,Gelderland
Lollum,Fryslân
Lomm,Limburg
Longerhouw / Longerhou,Fryslân
Loosdrecht,Noord-Holland
Loozen,Overijssel
Lopik,Utrecht
Lopikerkapel,Utrecht
Loppersum,Groningen
Losdorp,Groningen
Losser,Overijssel
Lottum,Limburg
Loënga / Loaiïngea,Fryslân
Lucaswolde,Groningen
Luddeweer,Groningen
Luinjeberd / Lúnbert,Fryslân
Lunteren,Gelderland
Lutjebroek,Noord-Holland
Lutjegast,Groningen
Lutjewinkel,Noord-Holland
De Lutte,Overijssel
Luttelgeest,Flevoland
Lutten,Overijssel
Luttenberg,Overijssel
Luxwoude / Lúkswâld,Fryslân
Luyksgestel,Noord-Brabant
Lytsewierrum / Lutkewierum,Fryslân
Maarheeze,Noord-Brabant
Maarn,Utrecht
Maarsbergen,Utrecht
Maarssen,Utrecht
Maartensdijk,Utrecht
Maasbommel,Gelderland
Maasbracht,Limburg
Maasbree,Limburg
Maasdam,Zuid-Holland
Maasdijk,Zuid-Holland
Maashees,Noord-Brabant
Maasland,Zuid-Holland
Maassluis,Zuid-Holland
Maastricht,Limburg
Made,Noord-Brabant
Makkinga / Makkingea,Fryslân
Makkum,Fryslân
Malden,Gelderland
Mander,Overijssel
Manderveen,Overijssel
Mantgum,Fryslân
Mantinge,Drenthe
Maren-Kessel,Noord-Brabant
Margraten,Limburg
Maria Hoop,Limburg
Mariahout,Noord-Brabant
Mariaparochie,Overijssel
Marijenkampen,Overijssel
Mariënberg,Overijssel
Mariënheem,Overijssel
Mariënvelde,Gelderland
Markelo,Overijssel
Marken,Noord-Holland
Markenbinnen,Noord-Holland
Marknesse,Flevoland
Marle,Overijssel
Marrum,Fryslân
Marsum / Marssum,Fryslân
Marum,Groningen
Marwijksoord,Drenthe
Mastenbroek,Overijssel
Maurik,Gelderland
Mechelen,Limburg
Medemblik,Noord-Holland
Meeden,Groningen
Meedhuizen,Groningen
Meerkerk,Utrecht
Meerlo,Limburg
De Meern,Utrecht
Meerssen,Limburg
Meerstad,Groningen
Meeuwen,Noord-Brabant
Megchelen,Gelderland
Megen,Noord-Brabant
Meijel,Limburg
Melderslo,Limburg
Melick,Limburg
Meliskerke,Zeeland
Melissant,Zuid-Holland
Menaam / Menaldum,Fryslân
Mensingeweer,Groningen
Meppel,Drenthe
Meppen,Drenthe
Merkelbeek,Limburg
Merselo,Limburg
Mesch,Limburg
Meteren,Gelderland
Meterik,Limburg
Metslawier / Mitselwier,Fryslân
Mheer,Limburg
Middelaar,Limburg
Middelburg,Zeeland
Middelharnis,Zuid-Holland
Middelie,Noord-Holland
Middelstum,Groningen
Middenbeemster,Noord-Holland
Middenmeer,Noord-Holland
Midlaren,Drenthe
Midlum / Mullum,Fryslân
Midsland / Midslân,Fryslân
Midwolda,Groningen
Midwolde,Groningen
Midwoud,Noord-Holland
Miedum,Fryslân
Mierlo,Noord-Brabant
Mijdrecht,Utrecht
Mill,Noord-Brabant
Millingen aan de Rijn,Gelderland
Milsbeek,Limburg
Minnertsga / Minnertsgea,Fryslân
Mirns / Murns,Fryslân
Moddergat,Fryslân
De Moer,Noord-Brabant
Moerdijk,Noord-Brabant
Moergestel,Noord-Brabant
Moerkapelle,Zuid-Holland
Moerstraten,Noord-Brabant
Molenaarsgraaf,Zuid-Holland
Molenschot,Noord-Brabant
Molkwerum / Molkwar,Fryslân
Monnickendam,Noord-Holland
Monster,Zuid-Holland
Montfoort,Utrecht
Montfort,Limburg
Mook,Limburg
Mookhoek,Zuid-Holland
Moordrecht,Zuid-Holland
Morra / Moarre,Fryslân
De Mortel,Noord-Brabant
Muiden,Noord-Holland
Muiderberg,Noord-Holland
Munnekeburen / Munnekebuorren,Fryslân
Munnekezijl / Muntsjesyl,Fryslân
Munstergeleen,Limburg
Muntendam,Groningen
Mussel,Groningen
Musselkanaal,Groningen
Naaldwijk,Zuid-Holland
Naarden,Noord-Holland
Nagele,Flevoland
Neder-Hardinxveld,Zuid-Holland
Nederasselt,Gelderland
Nederhemert,Gelderland
Nederhorst den Berg,Noord-Holland
Nederweert,Limburg
Neer,Limburg
Neerbeek,Limburg
Neerijnen,Gelderland
Neeritter,Limburg
Neerkant,Noord-Brabant
Neerlangel,Noord-Brabant
Neerloon,Noord-Brabant
Neede,Gelderland
Nes,Ameland,Fryslân
Nes,Fryslân
Netersel,Noord-Brabant
Netterden,Gelderland
Niawier / Nijewier,Fryslân
Nibbixwoud,Noord-Holland
Niebert,Groningen
Niehove,Groningen
Niekerk,Groningen
Niekerk,Groningen
Nietap,Drenthe
Nieuw Beerta,Groningen
Nieuw-Amsterdam,Drenthe
Nieuw-Balinge,Drenthe
Nieuw-Beijerland,Zuid-Holland
Nieuw-Buinen,Drenthe
Nieuw-Dordrecht,Drenthe
Nieuw-Heeten,Overijssel
Nieuw-Lekkerland,Zuid-Holland
Nieuw-Roden,Drenthe
Nieuw-Schoonebeek,Drenthe
Nieuw-Vennep,Noord-Holland
Nieuw-Vossemeer,Noord-Brabant
Nieuw-Weerdinge,Drenthe
Nieuwaal,Gelderland
Nieuwdorp,Zeeland
Nieuwe Pekela,Groningen
Nieuwe Wetering,Zuid-Holland
Nieuwe-Tonge,Zuid-Holland
Nieuwebrug / Nijbrêge,Fryslân
Nieuwediep,Drenthe
Nieuwegein,Utrecht
Nieuwehorne / Nijhoarne,Fryslân
Nieuwendijk,Noord-Brabant
Nieuwenhagen,Limburg
Nieuwer Ter Aa,Utrecht
Nieuwerkerk,Zeeland
Nieuwerkerk aan den IJssel,Zuid-Holland
Nieuweroord,Drenthe
Nieuwersluis,Utrecht
Nieuwkoop,Zuid-Holland
Nieuwkuijk,Noord-Brabant
Nieuwland,Utrecht
Nieuwlande,Drenthe
Nieuwleusen,Overijssel
Nieuwolda,Groningen
Nieuwpoort,Zuid-Holland
Nieuwveen,Zuid-Holland
Nieuwvliet,Zeeland
Niezijl,Groningen
Niftrik,Gelderland
Nigtevecht,Utrecht
Nij Altoenae,Fryslân
Nij Beets,Fryslân
Nijbroek,Gelderland
Nijeberkoop / Nijeberkeap,Fryslân
Nijega / Nyegea,Fryslân
Nijehaske,Fryslân
Nijeholtpade / Nijeholtpea,Fryslân
Nijeholtwolde / Nijeholtwâlde,Fryslân
Nijelamer / Nijelemmer,Fryslân
Nijemirdum / Nijemardum,Fryslân
Nijensleek,Drenthe
Nijetrijne / Nijetrine,Fryslân
Nijeveen,Drenthe
Nijkerk,Gelderland
Nijkerkerveen,Gelderland
Nijland / Nijlân,Fryslân
Nijlande,Drenthe
Nijmegen,Gelderland
Nijverdal,Overijssel
Nispen,Noord-Brabant
Nisse,Zeeland
Nistelrode,Noord-Brabant
Noardburgum / Noordbergum-dorp,Fryslân
Norg,Drenthe
Notter,Overijssel
Nuenen,Noord-Brabant
Nuis,Groningen
Nuland,Noord-Brabant
Numansdorp,Zuid-Holland
Nunhem,Limburg
Nunspeet,Gelderland
Nuth,Limburg
Nutter,Overijssel
Obbicht,Limburg
Obdam,Noord-Holland
Ochten,Gelderland
Odijk,Utrecht
Odiliapeel,Noord-Brabant
Odoorn,Drenthe
Oeffelt,Noord-Brabant
Oegstgeest,Zuid-Holland
Oene,Gelderland
Oentsjerk / Oenkerk,Fryslân
Oirlo,Limburg
Oirsbeek,Limburg
Oirschot,Noord-Brabant
Oisterwijk,Noord-Brabant
Okkenbroek,Overijssel
Oldeberkoop / Aldeberkeap,Fryslân
Oldebroek,Gelderland
Oldeholtpade / Aldeholtpea,Fryslân
Oldeholtwolde / Aldeholtwâlde,Fryslân
Oldehove,Groningen
Oldekerk,Groningen
Oldelamer / Aldlemmer,Fryslân
Oldemarkt,Overijssel
Oldenzaal,Overijssel
Oldenzijl,Groningen
Oldeouwer / Alde Ouwer,Fryslân
Oldetrijne / Aldetrine,Fryslân
Olst,Overijssel
Olterterp,Fryslân
Ommel,Noord-Brabant
Ommen,Overijssel
Ommeren,Gelderland
Onderdendam,Groningen
Onna,Overijssel
Onnen,Groningen
Onstwedde,Groningen
Ooij,Gelderland
Ooltgensplaat,Zuid-Holland
Oost West en Middelbeers,Noord-Brabant
Oost-Graftdijk,Noord-Holland
Oost-Souburg,Zeeland
Oostburg,Zeeland
Oosteinde,Noord-Brabant
Oosterbeek,Gelderland
Oosterbierum / Easterbierrum,Fryslân
Oosterblokker,Noord-Holland
Oosterhesselen,Drenthe
Oosterhout,Noord-Brabant
Oosterhout,Gelderland
Oosterland,Zeeland
Oosterleek,Noord-Holland
Oosternieland,Groningen
Oosternijkerk / Easternijtsjerk,Fryslân
Oosterstreek,Fryslân
Oosterwijk,Utrecht
Oosterwijtwerd,Groningen
Oosterwolde,Gelderland
Oosterwolde / Easterwâlde,Fryslân
Oosterzee / Eastersee,Fryslân
Oosthem / Easthim,Fryslân
Oosthuizen,Noord-Holland
Oostkapelle,Zeeland
Oostknollendam,Noord-Holland
Oostmahorn / De Skâns,Fryslân
Oostrum,Limburg
Oostrum / Eastrum,Fryslân
Oostvoorne,Zuid-Holland
Oostwold,Groningen
Oostwold,Groningen
Oostwoud,Noord-Holland
Oostzaan,Noord-Holland
Ootmarsum,Overijssel
Opeinde / De Pein,Fryslân
Opende,Groningen
Ophemert,Gelderland
Opheusden,Gelderland
Opijnen,Gelderland
Oploo,Noord-Brabant
Opmeer,Noord-Holland
Oppenhuizen / Toppenhuzen,Fryslân
Opperdoes,Noord-Holland
Oranje,Drenthe
Oranjewoud / (It) Oranjewâld,Fryslân
Orvelte,Drenthe
Ospel,Limburg
Oss,Noord-Brabant
Ossendrecht,Noord-Brabant
Ossenisse,Zeeland
Ossenzijl,Overijssel
Oterleek,Noord-Holland
Otterlo,Gelderland
Ottersum,Limburg
Ottoland,Zuid-Holland
Oud Ade,Zuid-Holland
Oud Annerveen,Drenthe
Oud Gastel,Noord-Brabant
Oud Ootmarsum,Overijssel
Oud-Alblas,Zuid-Holland
Oud-Beijerland,Zuid-Holland
Oud-Lekkerland,Zuid-Holland
Oud-Roden,Drenthe
Oud-Vossemeer,Zeeland
Ouddorp,Zuid-Holland
Oude Bildtzijl / Aldebiltsyl,Fryslân
Oude Pekela,Groningen
Oude Wetering,Zuid-Holland
Oude Willem,Drenthe
Oude-Tonge,Zuid-Holland
Oudega / Aldegea,Fryslân
Oudega / Aldegea,Fryslân
Oudega / Aldegea,Fryslân
Oudehaske / Aldehaske,Fryslân
Oudehorne / Aldhoarne,Fryslân
Oudelande,Zeeland
Oudemirdum / Aldemardum,Fryslân
Oudemolen,Noord-Brabant
Oudemolen,Drenthe
Oudenbosch,Noord-Brabant
Oudendijk,Noord-Holland
Oudenhoorn,Zuid-Holland
Ouderkerk aan de Amstel,Noord-Holland
Ouderkerk aan den IJssel,Zuid-Holland
Oudeschans,Groningen
Oudeschild,Noord-Holland
Oudeschoot / Aldskoat,Fryslân
Oudesluis,Noord-Holland
Oudewater,Utrecht
Oudezijl,Groningen
Oudheusden,Noord-Brabant
Oudkarspel,Noord-Holland
Oudorp,Noord-Holland
Oudwoude / Aldwâld,Fryslân
Ouwerkerk,Zeeland
Ouwster-Nijega / Ousternijegea,Fryslân
Ouwsterhaule / Ousterhaule,Fryslân
Overasselt,Gelderland
Overberg,Utrecht
Overdinkel,Overijssel
Overloon,Noord-Brabant
Overschild,Groningen
Overslag,Zeeland
Overveen,Noord-Holland
Ovezande,Zeeland
Paasloo,Overijssel
Paesens / Peazens,Fryslân
Pannerden,Gelderland
Panningen,Limburg
Papekop,Utrecht
Papendrecht,Zuid-Holland
Papenhoven,Limburg
Papenvoort,Drenthe
Parrega / Parregea,Fryslân
Paterswolde,Drenthe
Peest,Drenthe
Peins,Fryslân
Peize,Drenthe
Peperga / Pepergea,Fryslân
Pesse,Drenthe
Petten,Noord-Holland
Philippine,Zeeland
Piaam,Fryslân
Piershil,Zuid-Holland
Pieterburen,Groningen
Pietersbierum / Pitersbierrum,Fryslân
Pieterzijl,Groningen
Pijnacker,Zuid-Holland
Pingjum / Penjum,Fryslân
Plasmolen,Limburg
Poeldijk,Zuid-Holland
Polsbroek,Utrecht
Poortugaal,Zuid-Holland
Poortvliet,Zeeland
Posterholt,Limburg
Prinsenbeek,Noord-Brabant
Puiflijk,Gelderland
De Punt,Drenthe
Punthorst,Overijssel
Purmerend,Noord-Holland
Purmerland,Noord-Holland
Puth,Limburg
Putte,Noord-Brabant
Putten,Gelderland
Puttershoek,Zuid-Holland
Raalte,Overijssel
Raamsdonk,Noord-Brabant
Raamsdonksveer,Noord-Brabant
Raard,Fryslân
Radewijk,Overijssel
Raerd,Fryslân
Reitsum,Fryslân
Rekken,Gelderland
Renesse,Zeeland
Renkum,Gelderland
Renswoude,Utrecht
Ressen,Gelderland
Retranchement,Zeeland
Reusel,Noord-Brabant
Reutum,Overijssel
Reuver,Limburg
Rheden,Gelderland
Rheebruggen,Drenthe
Rheen,Drenthe
Rheeze,Overijssel
Rheezerveen,Overijssel
Rhenen,Utrecht
Rhenoy,Gelderland
Rhoon,Zuid-Holland
Ridderkerk,Zuid-Holland
Ried / Rie,Fryslân
Riel,Noord-Brabant
Rien,Fryslân
Riethoven,Noord-Brabant
Rietmolen,Gelderland
Rijen,Noord-Brabant
Rijkebuurt,Zeeland
Rijkevoort,Noord-Brabant
Rijnsburg,Zuid-Holland
De Rijp,Noord-Holland
Rijpwetering,Zuid-Holland
Rijs / Riis,Fryslân
Rijsbergen,Noord-Brabant
Rijsenhout,Noord-Holland
Rijssen,Overijssel
Rijswijk,Zuid-Holland
Rilland,Zeeland
Rinsumageast / Rinsumageest,Fryslân
De Rips,Noord-Brabant
Ritthem,Zeeland
Rockanje,Zuid-Holland
Roden,Drenthe
Roderwolde,Drenthe
Roelofarendsveen,Zuid-Holland
Roermond,Limburg
Roggel,Limburg
Rolde,Drenthe
Roosendaal,Noord-Brabant
Roosteren,Limburg
Rosmalen,Noord-Brabant
Rossum,Overijssel
Rossum,Gelderland
Roswinkel,Drenthe
Rotterdam,Zuid-Holland
Rottevalle / Rottefalle,Fryslân
Rottum,Fryslân
Rottum,Groningen
Rouveen,Overijssel
Rozenburg,Noord-Holland
Rozenburg,Zuid-Holland
Rozendaal,Gelderland
Rucphen,Noord-Brabant
Ruigahuizen / Rûgehúzen,Fryslân
Ruinen,Drenthe
Ruinerwold,Drenthe
Rutten,Flevoland
Ruurlo,Gelderland
Ryptsjerk / Rijperkerk,Fryslân
Saaksum,Groningen
Saasveld,Overijssel
Saaxumhuizen,Groningen
Sambeek,Noord-Brabant
Sandfirden / Sânfurd,Fryslân
Santpoort-Noord,Noord-Holland
Santpoort-Zuid,Noord-Holland
Sappemeer,Groningen
Sas van Gent,Zeeland
Sassenheim,Zuid-Holland
Sauwerd,Groningen
Schaijk,Noord-Brabant
Schalkhaar,Overijssel
Schalkwijk,Utrecht
Schalsum / Skalsum,Fryslân
Scharendijke,Zeeland
Scharnegoutum / Skearnegoutum,Fryslân
Scharsterbrug / Skarsterbrêge,Fryslân
Scheemda,Groningen
Scheerwolde,Overijssel
Schellinkhout,Noord-Holland
Schelluinen,Zuid-Holland
Schermerhorn,Noord-Holland
Scherpenisse,Zeeland
Scherpenzeel,Gelderland
Scherpenzeel / Skerpenseel,Fryslân
Schettens / Skettens,Fryslân
Schiedam,Zuid-Holland
Schiermonnikoog / Skiermûntseach,Fryslân
Schijf,Noord-Brabant
Schijndel,Noord-Brabant
Schildwolde,Groningen
Schimmert,Limburg
Schin op Geul,Limburg
Schinnen,Limburg
Schinveld,Limburg
Schipborg,Drenthe
Schiphol,Noord-Holland
De Schiphorst,Drenthe
Schipluiden,Zuid-Holland
Schokland,Flevoland
Schoondijke,Zeeland
Schoonebeek,Drenthe
Schoonhoven,Zuid-Holland
Schoonloo,Drenthe
Schoonoord,Drenthe
Schoonrewoerd,Utrecht
Schoorl,Noord-Holland
Sebaldeburen,Groningen
Sellingen,Groningen
Sevenum,Limburg
Sexbierum / Seisbierrum,Fryslân
Sibculo,Overijssel
Sibrandabuorren,Fryslân
Sibrandahûs / Sijbrandahuis,Fryslân
Siddeburen,Groningen
Siebengewald,Limburg
Siegerswoude / Sigerswâld,Fryslân
Sijbekarspel,Noord-Holland
Silvolde,Gelderland
Simonshaven,Zuid-Holland
Simpelveld,Limburg
Sinderen,Gelderland
Sint Agatha,Noord-Brabant
Sint Anthonis,Noord-Brabant
Sint Geertruid,Limburg
Sint Hubert,Noord-Brabant
Sint Jansklooster,Overijssel
Sint Jansteen,Zeeland
Sint Joost,Limburg
Sint Kruis,Zeeland
Sint Maarten,Noord-Holland
Sint Maartensbrug,Noord-Holland
Sint Maartensvlotbrug,Noord-Holland
Sint Nicolaasga / Sint Nyk,Fryslân
Sint Odiliënberg,Limburg
Sint Pancras,Noord-Holland
Sint-Annaland,Zeeland
Sint-Maartensdijk,Zeeland
Sint-Michielsgestel,Noord-Brabant
Sint-Oedenrode,Noord-Brabant
Sint-Philipsland,Zeeland
Sintjohannesga / Sint Jansgea,Fryslân
Sirjansland,Zeeland
Sittard,Limburg
Slagharen,Overijssel
Slappeterp,Fryslân
Sleen,Drenthe
Sleeuwijk,Noord-Brabant
Slenaken,Limburg
Sliedrecht,Zuid-Holland
Slijk-Ewijk,Gelderland
Slijkenburg / Slikenboarch,Fryslân
Slochteren,Groningen
Sloten / Sleat,Fryslân
Sluis,Zeeland
Sluiskil,Zeeland
Smakt,Limburg
Smalle Ee / Smelle Ie,Fryslân
Smallebrugge / Smelbrêge,Fryslân
Smilde,Drenthe
Snakkerburen / Snakkerbuorren,Fryslân
Sneek / Snits,Fryslân
Snikzwaag / Sniksweach,Fryslân
Soerendonk,Noord-Brabant
Soest,Utrecht
Soesterberg,Utrecht
Someren,Noord-Brabant
Sommelsdijk,Zuid-Holland
Son en Breugel,Noord-Brabant
Sondel,Fryslân
Sonnega / Sonnegea,Fryslân
Spanbroek,Noord-Holland
Spankeren,Gelderland
Spannum,Fryslân
Spaubeek,Limburg
Spier,Drenthe
Spierdijk,Noord-Holland
Spijk,Gelderland
Spijk,Gelderland
Spijkenisse,Zuid-Holland
Spijkerboor,Drenthe
Spijkerboor,Noord-Holland
Sprang-Capelle,Noord-Brabant
Sprundel,Noord-Brabant
St. Willebrord,Noord-Brabant
St.-Annaparochie / Sint-Anne,Fryslân
St.-Jacobiparochie / Sint Jabik,Fryslân
Stad aan 't Haringvliet,Zuid-Holland
Stadskanaal,Groningen
Stampersgat,Noord-Brabant
Standdaarbuiten,Noord-Brabant
Staphorst,Overijssel
Starnmeer,Noord-Holland
Startenhuizen,Groningen
Stavenisse,Zeeland
Stavoren / Starum,Fryslân
Stedum,Groningen
De Steeg,Gelderland
Steenbergen,Noord-Brabant
Steendam,Groningen
Steenderen,Gelderland
Steensel,Noord-Brabant
Steenwijk,Overijssel
Steenwijkerwold,Overijssel
Stegeren,Overijssel
Steggerda,Fryslân
Stein,Limburg
Stellendam,Zuid-Holland
Sterksel,Noord-Brabant
Stevensbeek,Noord-Brabant
Stevensweert,Limburg
Steyl,Limburg
Stieltjeskanaal,Drenthe
Stiens,Fryslân
Stipdonk,Noord-Brabant
Stitswerd,Groningen
Stokkum,Gelderland
Stolwijk,Zuid-Holland
Stompetoren,Noord-Holland
Stoutenburg,Utrecht
Streefkerk,Zuid-Holland
Strijbeek,Noord-Brabant
Strijen,Zuid-Holland
Strijensas,Zuid-Holland
Stroe,Gelderland
Stroobos / Strobos,Fryslân
Stuifzand,Drenthe
Sumar / Suameer,Fryslân
Surhuisterveen / Surhústerfean,Fryslân
Surhuizum / Surhuzum,Fryslân
Susteren,Limburg
Suwâld / Suawoude,Fryslân
Swalmen,Limburg
Sweikhuizen,Limburg
Swichum,Fryslân
Swifterbant,Flevoland
Swolgen,Limburg
Taarlo,Drenthe
Teeffelen,Noord-Brabant
Teerns / Tearns,Fryslân
Tegelen,Limburg
Ternaard,Fryslân
Terneuzen,Zeeland
Terschuur,Gelderland
Tersoal,Fryslân
Terwispel,Fryslân
Terwolde,Gelderland
Teteringen,Noord-Brabant
Teuge,Gelderland
Tholen,Zeeland
Thorn,Limburg
Tiel,Gelderland
Tiendeveen,Drenthe
Tienhoven,Utrecht
Tienhoven aan de Lek,Utrecht
Tienray,Limburg
Tijnje / De Tynje,Fryslân
De Tike,Fryslân
Tilburg,Noord-Brabant
Tilligte,Overijssel
Tinallinge,Groningen
Tinte,Zuid-Holland
Tirns / Turns,Fryslân
Tjalhuizum / Tsjalhuzum,Fryslân
Tjalleberd / Tsjalbert,Fryslân
Tjerkgaast / Tsjerkgaast,Fryslân
Tjerkwerd / Tsjerkwert,Fryslân
Tjuchem,Groningen
Tolbert,Groningen
Toldijk,Gelderland
Tolkamer,Gelderland
Tollebeek,Flevoland
Tonden,Gelderland
Toornwerd,Groningen
Tricht,Gelderland
Triemen / De Trieme,Fryslân
Tripscompagnie,Groningen
Tubbergen,Overijssel
Tuil,Gelderland
Tuitjenhorn,Noord-Holland
Tuk,Overijssel
Tull en 't Waal,Utrecht
Tungelroy,Limburg
Tweede Tol,Zuid-Holland
Twello,Gelderland
Twijzel / Twizel,Fryslân
Twijzelerheide / Twizelerheide,Fryslân
Twisk,Noord-Holland
Tynaarlo,Drenthe
Tytsjerk / Tietjerk,Fryslân
Tzum / Tsjom,Fryslân
Tzummarum / Tsjummearum,Fryslân
Ubach over Worms,Limburg
Ubbena,Drenthe
Ubbergen,Gelderland
Uddel,Gelderland
Uden,Noord-Brabant
Udenhout,Noord-Brabant
Uffelte,Drenthe
Ugchelen,Gelderland
Uitdam,Noord-Holland
Uitgeest,Noord-Holland
Uithoorn,Noord-Holland
Uithuizen,Groningen
Uithuizermeeden,Groningen
Uitwellingerga / Twellingea,Fryslân
Ulestraten,Limburg
Ulft,Gelderland
Ulicoten,Noord-Brabant
Ulrum,Groningen
Ulvenhout,Noord-Brabant
Ureterp / Oerterp,Fryslân
Urk,Flevoland
Urmond,Limburg
Ursem,Noord-Holland
Usquert,Groningen
Utrecht,Utrecht
Vaals,Limburg
Vaassen,Gelderland
Valburg,Gelderland
Valkenburg,Zuid-Holland
Valkenburg,Limburg
Valkenswaard,Noord-Brabant
Valthe,Drenthe
Valthermond,Drenthe
Varik,Gelderland
Varsseveld,Gelderland
Vasse,Overijssel
Veendam,Groningen
Veendijk,Drenthe
Veenendaal,Utrecht
De Veenhoop / De Feanhoop,Fryslân
Veenhuizen,Drenthe
Veeningen,Drenthe
Veenklooster / Feankleaster,Fryslân
Veenoord,Drenthe
Veere,Zeeland
Veessen,Gelderland
Vegelinsoord / Vegelinsoard,Fryslân
Veghel,Noord-Brabant
Velddriel,Gelderland
Velden,Limburg
Veldhoven,Noord-Brabant
Velp,Noord-Brabant
Velp,Gelderland
Velsen-Noord,Noord-Holland
Velsen-Zuid,Noord-Holland
Velserbroek,Noord-Holland
Ven-Zelderheide,Limburg
Venebrugge,Overijssel
Venhorst,Noord-Brabant
Venhuizen,Noord-Holland
Venlo,Limburg
Venray,Limburg
Vessem,Noord-Brabant
Vethuizen,Gelderland
Veulen,Limburg
Vianen,Utrecht
Vierakker,Gelderland
Vierhouten,Gelderland
Vierhuizen,Groningen
Vierlingsbeek,Noord-Brabant
Vierpolders,Zuid-Holland
Vijlen,Limburg
Vilsteren,Overijssel
Vinkega / Finkegea,Fryslân
Vinkel,Noord-Brabant
Vinkeveen,Utrecht
Visvliet,Groningen
Vlaardingen,Zuid-Holland
Vlagtwedde,Groningen
Vledder,Drenthe
Vledderveen,Groningen
Vledderveen,Drenthe
Vleuten,Utrecht
Vlieland / Flylân,Fryslân
Vlierden,Noord-Brabant
Vlijmen,Noord-Brabant
Vlissingen,Zeeland
Vlist,Zuid-Holland
Vlodrop,Limburg
Voerendaal,Limburg
Vogelenzang,Noord-Holland
Vogelwaarde,Zeeland
Volendam,Noord-Holland
Volkel,Noord-Brabant
Vollenhove,Overijssel
Voorburg,Zuid-Holland
Voorhout,Zuid-Holland
Voorschoten,Zuid-Holland
Voorst,Gelderland
Voorst,Gelderland
Voorthuizen,Gelderland
Vorchten,Gelderland
Vorden,Gelderland
Vorstenbosch,Noord-Brabant
Vortum-Mullem,Noord-Brabant
Vragender,Gelderland
Vredenheim,Drenthe
Vredepeel,Limburg
Vreeland,Utrecht
Vries,Drenthe
Vriescheloo,Groningen
Vriezenveen,Overijssel
Vroomshoop,Overijssel
Vrouwenakker,Zuid-Holland
Vrouwenparochie / Froubuorren,Fryslân
Vrouwenpolder,Zeeland
Vught,Noord-Brabant
Vuren,Gelderland
Waaksens / Waaxens,Fryslân
De Waal,Noord-Holland
Waalre,Noord-Brabant
Waalwijk,Noord-Brabant
Waarde,Zeeland
Waardenburg,Gelderland
Waarder,Zuid-Holland
Waardhuizen,Noord-Brabant
Waarland,Noord-Holland
Waaxens,Fryslân
Wachtum,Drenthe
Waddinxveen,Zuid-Holland
Wadenoijen,Gelderland
Wagenberg,Noord-Brabant
Wagenborgen,Groningen
Wageningen,Gelderland
Walem,Limburg
Walsoorden,Zeeland
Wamel,Gelderland
Wanneperveen,Overijssel
Wanroij,Noord-Brabant
Wanssum,Limburg
Wapenveld,Gelderland
Wapse,Drenthe
Wapserveen,Drenthe
Warga / Wergea,Fryslân
Warmenhuizen,Noord-Holland
Warmond,Zuid-Holland
Warns,Fryslân
Warnsveld,Gelderland
Warstiens,Fryslân
Wartena / Warten,Fryslân
Waskemeer / Waskemar,Fryslân
Waspik,Noord-Brabant
Wassenaar,Zuid-Holland
Wateren,Drenthe
Watergang,Noord-Holland
Waterhuizen,Groningen
Wateringen,Zuid-Holland
Waterlandkerkje,Zeeland
Waverveen,Utrecht
Wedde,Groningen
Weerselo,Overijssel
Weert,Limburg
Weesp,Noord-Holland
Wehe-den Hoorn,Groningen
Wehl,Gelderland
